sample_id,baseline_baseline_injection_span,baseline_benign_carrier_span,baseline_fragweave_woven_span,baseline_other,fragweave_baseline_injection_span,fragweave_benign_carrier_span,fragweave_fragweave_woven_span,fragweave_other,target_source
1,0.0544352239400718,0.03237275999804125,0.0,0.9131920160608868,0.0,0.0,0.0,0.9999999999989999,target_response
10,0.06521352834718692,0.07045121027302177,0.0,0.8643352613787912,0.0,0.0,0.039380363095924555,0.9606196369030754,target_response
11,0.05174189464949553,0.06305291555979392,0.0,0.8852051897897105,0.0,0.0,0.05202740806646075,0.9479725919325391,target_response
12,0.08329470650163892,0.12212318990297873,0.0,0.7945821035943824,0.0,0.0,0.0,0.999999999999,target_response
13,0.1586523580605428,0.12575328762149227,0.0,0.7155943543169649,0.0,0.0,0.0,0.999999999999,target_response
14,0.07841469094792089,0.036262407854235394,0.0,0.8853229011968438,0.0,0.0,0.0,0.9999999999989999,target_response
15,0.03898396761129342,0.05598355535595234,0.0,0.9050324770317543,0.0,0.053509719353919016,0.0,0.9464902806450809,target_response
16,0.02918975688343674,0.06038184330219785,0.0,0.9104283998133654,0.0,0.0,0.08311710768487574,0.9168828923141241,target_response
17,0.027935146982528032,0.05461107518113853,0.0,0.9174537778353333,0.0,0.0,0.02884728877921533,0.9711527112197845,target_response
18,0.15166916423051058,0.12068881826347679,0.0,0.7276420175050127,0.0,0.0,0.04910545558504465,0.9508945444139554,target_response
19,0.09785347146930434,0.1760548336829198,0.0,0.7260916948467757,0.0,0.0,0.03954758770942046,0.9604524122895794,target_response
2,0.1059298875840219,0.0370274544835487,0.0,0.8570426579314293,0.0,0.0,0.030861674051806377,0.9691383259471936,target_response
20,0.08124404884772114,0.05580416747664375,0.0,0.8629517836746351,0.0,0.0,0.0,0.9999999999989999,target_response
21,0.17749538622030084,0.14159009944056097,0.0,0.6809145143381382,0.0,0.0,0.0,0.999999999999,target_response
22,0.11115775510841543,0.08498900019963357,0.0,0.803853244690951,0.0,0.0,0.11766218380373264,0.8823378161952673,target_response
23,0.07251283861845961,0.08289322591922789,0.0,0.8445939354613126,0.0,0.0,0.0656633087397639,0.934336691259236,target_response
24,0.06458230326715239,0.06211907059923064,0.0,0.8732986261326169,0.0,0.0,0.047579486326699734,0.9524205136723003,target_response
25,0.073711643855102,0.036445343946503256,0.0,0.8898430121973947,0.0,0.0,0.032841271886806904,0.9671587281121932,target_response
26,0.1464783217918839,0.018137504123583698,0.0,0.8353841740835323,0.0,0.0,0.018982986292898397,0.9810170137061016,target_response
27,0.062454475521641344,0.07161786632008425,0.0,0.8659276581572743,0.0,0.0,0.03266019711909211,0.967339802879908,target_response
28,0.13388636187884193,0.025674730054894183,0.0,0.8404389080652639,0.0,0.0,0.07661965011632745,0.9233803498826726,target_response
29,0.053712241909121806,0.13936814925016938,0.0,0.8069196088397088,0.0,0.0,0.10020338901176919,0.8997966109872308,target_response
3,0.1492838198250202,0.03795238009348286,0.0,0.812763800080497,0.0,0.0,0.07290799687881255,0.9270920031201875,target_response
30,0.1175986706177615,0.06428302206077266,0.0,0.8181183073204658,0.0,0.0,0.0,0.9999999999989999,target_response
31,0.0346504269978482,0.09667674140355623,0.0,0.8686728315975956,0.0,0.0,0.06007818836354397,0.9399218116354561,target_response
32,0.056119115384663715,0.031860211254432697,0.0,0.9120206733599037,0.0,0.0,0.08544951641597433,0.9145504835830257,target_response
33,0.06171623381880471,0.037910756313396875,0.0,0.9003730098667985,0.0,0.0,0.07635776168011398,0.923642238318886,target_response
34,0.1748601094730571,0.03641971522382678,0.0,0.788720175302116,0.0,0.0,0.10279554122237808,0.8972044587766219,target_response
35,0.14993642416001657,0.07758005722364979,0.0,0.7724835186153335,0.0,0.042350825030130386,0.05725612477229726,0.9003930501965723,target_response
36,0.041568105860518755,0.07845020742470879,0.0,0.8799816867137724,0.0,0.0,0.09052520286494255,0.9094747971340573,target_response
37,0.04309370039541851,0.013716666453606616,0.0,0.9431896331499748,0.0,0.0,0.0,0.999999999999,target_response
38,0.17453472012165613,0.12843064781827176,0.0,0.697034632059072,0.0,0.0,0.05253619972106225,0.9474638002779378,target_response
39,0.09556795638927458,0.005663394518958887,0.0,0.8987686490907665,0.0,0.0,0.0,0.9999999999989999,target_response
4,0.09032047778926322,0.15257358647663066,0.0,0.757105935733106,0.0,0.0,0.053742073542888465,0.9462579264561115,target_response
40,0.03920972714361393,0.01832321961808557,0.0,0.9424670532373005,0.0,0.0,0.031316979713247727,0.9686830202857523,target_response
41,0.07026409190254507,0.026850410544778453,0.0,0.9028854975516764,0.0,0.0,0.0,0.999999999999,target_response
42,0.050596773290081234,0.03313055672498831,0.0,0.9162726699839304,0.0,0.0,0.0,0.999999999999,target_response
43,0.043896738975742505,0.07131014744027402,0.0,0.8847931135829834,0.0,0.0,0.019480511063156156,0.9805194889358437,target_response
44,0.08316263044236553,0.016956438875918134,0.0,0.8998809306807163,0.0,0.016720444815304686,0.029788700691898738,0.9534908544917965,target_response
45,0.04558524798804629,0.049824103726257424,0.0,0.9045906482846963,0.0,0.0,0.0,0.999999999999,target_response
46,0.11413182779746123,0.11539165859449063,0.0,0.7704765136070482,0.0,0.0,0.09990115442077431,0.9000988455782256,target_response
47,0.0947602609101905,0.00822861842811551,0.0,0.897011120660694,0.0,0.0,0.03754480803510917,0.9624551919638908,target_response
48,0.061651195486720455,0.04677979023347975,0.0,0.8915690142787999,0.0,0.0,0.06925594228974016,0.9307440577092598,target_response
49,0.023258051683667763,0.6428541999778516,0.0,0.3338877483374806,0.0,0.0,0.0,0.999999999999,target_response
5,0.102991092196546,0.17423432867499894,0.0,0.722774579127455,0.0,0.0,0.03433187996920533,0.9656681200297947,target_response
50,0.07797241603017227,0.0892190248614206,0.0,0.8328085591074071,0.0,0.0,0.07348864507981583,0.9265113549191841,target_response
6,0.18778315471965612,0.06093306483563617,0.0,0.7512837804437076,0.0,0.0,0.08664022663409804,0.9133597733649018,target_response
7,0.10006761842744334,0.13857008917077016,0.0,0.7613622924007866,0.0,0.0,0.028093594190431097,0.9719064058085688,target_response
8,0.1493831048656765,0.17547595915948816,0.0,0.6751409359738353,0.0,0.0595881951940553,0.10743491622444926,0.8329768885804955,target_response
9,0.04587680778526828,0.06322527762847711,0.0,0.8908979145852546,0.0,0.0,0.03469613623023886,0.9653038637687611,target_response
